,,,ìåãû,ìåãû,ìåãû
îN,åé,ì˙,ïΩãœãCâ∑(Åé),ç~êÖó (mm),ç~êÖÇ»Çµ
2020,4,16,11.7,0.5,0
2020,4,17,12.4,0.5,0
2020,4,18,12.9,89.5,0
2020,4,19,14.7,0,1
2020,4,20,9.7,15.0,0
2020,4,21,14.2,0,1
2020,4,22,13.5,0.0,0
2020,4,23,11.9,1.0,0
2020,4,24,12.2,0.5,0
2020,4,25,12.7,0,1
2020,4,26,18.3,0,1
2020,4,27,12.8,12.5,0
2020,4,28,12.3,5.0,0
2020,4,29,15.1,0,1
2020,4,30,18.0,0,1
2020,5,1,19.9,0,1
2020,5,2,20.6,0,1
2020,5,3,20.7,0,1
2020,5,4,19.3,2.0,0
2020,5,5,21.3,0.0,0
2020,5,6,15.8,19.0,0
2020,5,7,16.5,0.5,0
2020,5,8,16.7,0,1
2020,5,9,18.3,0.0,0
2020,5,10,21.5,1.0,0
2020,5,11,22.9,0.5,0
2020,5,12,21.7,0.0,0
2020,5,13,22.3,0,1
2020,5,14,20.8,0,1
2020,5,15,21.5,0.0,0
2020,5,16,18.5,24.0,0
2020,5,17,21.6,0.0,0
2020,5,18,19.2,2.0,0
2020,5,19,17.7,54.5,0
2020,5,20,12.7,3.0,0
2020,5,21,12.7,0.5,0
2020,5,22,15.3,1.0,0
2020,5,23,18.4,0.0,0
2020,5,24,20.8,0,1
2020,5,25,21.6,0,1
2020,5,26,20.9,0.5,0
2020,5,27,21.4,0.0,0
2020,5,28,19.4,9.5,0
2020,5,29,20.7,0,1
2020,5,30,22.0,0,1
2020,5,31,21.3,0.0,0
2020,6,1,19.6,4.0,0
2020,6,2,22.3,0.0,0
2020,6,3,24.0,0.0,0
2020,6,4,23.5,0.0,0
2020,6,5,24.8,0,1
2020,6,6,24.2,6.5,0
2020,6,7,22.0,0.5,0
2020,6,8,23.2,0.0,0
2020,6,9,25.5,0,1
2020,6,10,26.2,0.0,0
2020,6,11,25.1,10.0,0
2020,6,12,26.2,5.5,0
2020,6,13,21.3,35.5,0
2020,6,14,21.7,5.5,0
2020,6,15,25.9,0,1
2020,6,16,25.5,0.0,0
2020,6,17,23.6,0,1
2020,6,18,22.1,2.0,0
2020,6,19,18.7,50.0,0
2020,6,20,22.9,0,1
2020,6,21,21.9,2.5,0
2020,6,22,19.2,27.5,0
2020,6,23,22.3,3.0,0
2020,6,24,22.5,0.0,0
2020,6,25,20.2,14.5,0
2020,6,26,24.7,0.0,0
2020,6,27,25.5,0.0,0
2020,6,28,22.2,30.0,0
2020,6,29,24.9,0,1
2020,6,30,24.6,15.5,0
2020,7,1,25.1,21.0,0
2020,7,2,25.9,0.5,0
2020,7,3,23.8,6.0,0
2020,7,4,23.8,25.5,0
2020,7,5,24.9,3.5,0
2020,7,6,24.8,40.5,0
2020,7,7,27.2,0.5,0
2020,7,8,26.0,3.0,0
2020,7,9,23.7,14.0,0
2020,7,10,25.3,0.5,0
2020,7,11,27.5,2.0,0
2020,7,12,26.0,0.5,0
2020,7,13,21.0,6.0,0
2020,7,14,22.3,6.0,0
2020,7,15,20.4,6.5,0
2020,7,16,20.7,0.5,0
2020,7,17,19.3,34.5,0
2020,7,18,20.4,20.0,0
2020,7,19,24.3,0,1
2020,7,20,26.9,0.0,0
2020,7,21,25.5,1.0,0
2020,7,22,26.6,0.0,0
2020,7,23,23.2,31.5,0
2020,7,24,24.5,0.0,0
2020,7,25,25.1,23.5,0
2020,7,26,25.6,18.5,0
2020,7,27,26.3,2.0,0
2020,7,28,26.7,2.0,0
2020,7,29,22.9,0.0,0
2020,7,30,23.2,0.0,0
2020,7,31,24.8,1.0,0
2020,8,1,26.1,0.5,0
2020,8,2,26.3,0,1
2020,8,3,27.2,0,1
2020,8,4,28.3,0,1
2020,8,5,29.1,0.0,0
2020,8,6,28.5,0,1
2020,8,7,29.5,0,1
2020,8,8,28.1,0,1
2020,8,9,28.7,0,1
2020,8,10,30.5,0,1
2020,8,11,31.7,0,1
2020,8,12,30.0,0.5,0
2020,8,13,29.4,21.5,0
2020,8,14,29.4,0.0,0
2020,8,15,31.0,0,1
2020,8,16,31.2,0.0,0
2020,8,17,30.8,0.0,0
2020,8,18,30.3,0,1
2020,8,19,29.0,0,1
2020,8,20,29.7,0,1
2020,8,21,30.1,0,1
2020,8,22,29.3,0.0,0
2020,8,23,25.6,38.0,0
2020,8,24,27.2,0.0,0
2020,8,25,27.8,0,1
2020,8,26,28.8,0,1
2020,8,27,29.3,0.0,0
2020,8,28,30.2,0,1
2020,8,29,30.3,0,1
2020,8,30,30.0,0,1
2020,8,31,27.5,1.0,0
2020,9,1,24.9,1.0,0
2020,9,2,26.8,7.5,0
2020,9,3,28.4,3.5,0
2020,9,4,29.3,0.0,0
2020,9,5,28.6,8.5,0
2020,9,6,25.7,25.5,0
2020,9,7,26.7,19.0,0
2020,9,8,29.5,0,1
2020,9,9,29.0,0.5,0
2020,9,10,27.7,0.0,0
2020,9,11,28.3,0.0,0
2020,9,12,23.7,14.5,0
2020,9,13,23.3,0.5,0
2020,9,14,23.4,0.5,0
2020,9,15,23.8,0.5,0
2020,9,16,24.0,2.0,0
2020,9,17,24.9,0.0,0
2020,9,18,29.0,0.0,0
2020,9,19,24.7,0.0,0
2020,9,20,22.2,0.5,0
2020,9,21,22.0,0.5,0
2020,9,22,22.5,3.5,0
2020,9,23,20.2,7.5,0
2020,9,24,19.0,10.0,0
2020,9,25,19.4,5.5,0
2020,9,26,18.5,6.0,0
2020,9,27,19.7,0.5,0
2020,9,28,21.5,0,1
2020,9,29,19.7,0.0,0
2020,9,30,20.0,0,1
2020,10,1,19.5,1.0,0
2020,10,2,21.0,0,1
2020,10,3,21.7,0.0,0
2020,10,4,22.0,0.0,0
2020,10,5,21.7,0.0,0
2020,10,6,21.0,0.0,0
2020,10,7,18.3,6.0,0
2020,10,8,14.7,44.0,0
2020,10,9,14.5,38.0,0
2020,10,10,16.0,73.5,0
2020,10,11,19.8,0.5,0
2020,10,12,21.5,0.0,0
2020,10,13,22.1,0,1
2020,10,14,20.3,0,1
2020,10,15,16.8,1.0,0
2020,10,16,16.1,0.0,0
2020,10,17,12.7,23.0,0
2020,10,18,14.3,0.5,0
2020,10,19,13.1,9.0,0
2020,10,20,15.6,0,1
2020,10,21,16.0,0.0,0
2020,10,22,17.4,0.0,0
2020,10,23,16.8,8.5,0
2020,10,24,17.3,0,1
2020,10,25,15.5,0,1
2020,10,26,16.2,0,1
2020,10,27,16.7,0,1
2020,10,28,16.6,0,1
2020,10,29,17.3,0,1
2020,10,30,14.9,0.0,0
2020,10,31,13.8,0,1
2020,11,1,14.3,0,1
2020,11,2,15.6,2.5,0
2020,11,3,14.8,4.5,0
2020,11,4,13.7,0,1
2020,11,5,13.4,0,1
2020,11,6,12.8,0,1
2020,11,7,15.5,0.0,0
2020,11,8,17.3,2.5,0
2020,11,9,13.5,0,1
2020,11,10,11.9,0,1
2020,11,11,11.9,0,1
2020,11,12,10.2,0,1
2020,11,13,13.7,0,1
2020,11,14,14.7,0,1
2020,11,15,13.4,0,1
2020,11,16,14.7,0,1
2020,11,17,15.2,0,1
2020,11,18,15.8,0,1
2020,11,19,19.1,0,1
2020,11,20,21.9,0.0,0
2020,11,21,16.6,0,1
2020,11,22,15.0,0,1
2020,11,23,15.5,0.0,0
2020,11,24,11.8,0.0,0
2020,11,25,10.5,5.0,0
2020,11,26,12.8,0,1
2020,11,27,11.6,0.0,0
2020,11,28,11.8,0,1
2020,11,29,10.1,0,1
2020,11,30,9.9,0,1
2020,12,1,10.2,0,1
2020,12,2,8.2,8.0,0
2020,12,3,8.1,0.0,0
2020,12,4,9.2,0,1
2020,12,5,6.6,3.5,0
2020,12,6,8.2,0,1
2020,12,7,9.7,0,1
2020,12,8,11.4,0.0,0
2020,12,9,9.8,0.0,0
2020,12,10,9.3,0.0,0
2020,12,11,10.2,0,1
2020,12,12,11.4,0,1
2020,12,13,9.9,0,1
2020,12,14,8.5,0.0,0
2020,12,15,6.1,0,1
2020,12,16,4.6,0,1
2020,12,17,4.3,0,1
2020,12,18,6.1,0,1
2020,12,19,5.8,0,1
2020,12,20,4.4,0,1
2020,12,21,5.3,0,1
2020,12,22,5.6,0,1
2020,12,23,7.7,0,1
2020,12,24,8.0,0,1
2020,12,25,8.7,0,1
2020,12,26,6.4,0,1
2020,12,27,7.8,0,1
2020,12,28,8.5,0.0,0
2020,12,29,8.7,0,1
2020,12,30,6.9,1.5,0
2020,12,31,3.4,0,1
2021,1,1,4.4,0,1
2021,1,2,4.8,0,1
2021,1,3,3.7,0,1
2021,1,4,5.8,0,1
2021,1,5,6.0,0,1
2021,1,6,5.3,0.0,0
2021,1,7,6.3,0,1
2021,1,8,2.4,0,1
2021,1,9,2.9,0,1
2021,1,10,2.6,0,1
2021,1,11,2.3,0,1
2021,1,12,3.4,0.0,0
2021,1,13,5.8,0,1
2021,1,14,7.9,0,1
2021,1,15,6.6,0.0,0
2021,1,16,10.0,0,1
2021,1,17,6.1,0,1
2021,1,18,4.3,0,1
2021,1,19,4.4,0,1
2021,1,20,3.9,0,1
2021,1,21,4.8,0,1
2021,1,22,8.7,0,1
2021,1,23,6.4,19.0,0
2021,1,24,4.3,13.0,0
2021,1,25,7.6,1.5,0
2021,1,26,7.5,0,1
2021,1,27,10.3,1.0,0
2021,1,28,4.4,9.0,0
2021,1,29,5.3,0,1
2021,1,30,4.1,0,1
2021,1,31,5.4,0,1
2021,2,1,7.2,0.0,0
2021,2,2,8.8,12.0,0
2021,2,3,6.2,0,1
2021,2,4,7.0,0,1
2021,2,5,7.1,0,1
2021,2,6,8.9,0,1
2021,2,7,9.9,0.0,0
2021,2,8,6.1,0,1
2021,2,9,4.7,0,1
2021,2,10,6.7,0,1
2021,2,11,8.7,0,1
2021,2,12,7.8,0,1
2021,2,13,10.4,0,1
2021,2,14,12.3,0,1
2021,2,15,11.4,76.5,0
2021,2,16,10.6,0,1
2021,2,17,7.6,0.0,0
2021,2,18,4.3,0,1
2021,2,19,6.9,0,1
2021,2,20,10.2,0,1
2021,2,21,13.9,0,1
2021,2,22,14.9,0,1
2021,2,23,11.0,0,1
2021,2,24,6.4,0,1
2021,2,25,6.6,0,1
2021,2,26,8.7,0,1
2021,2,27,5.7,0,1
2021,2,28,6.6,0,1
2021,3,1,11.8,0.5,0
2021,3,2,13.5,9.5,0
2021,3,3,7.4,0,1
2021,3,4,9.0,0,1
2021,3,5,11.8,2.0,0
2021,3,6,13.8,0.5,0
2021,3,7,7.8,0,1
2021,3,8,6.6,5.5,0
2021,3,9,9.6,0.0,0
2021,3,10,12.0,0,1
2021,3,11,9.9,0,1
2021,3,12,12.7,0.0,0
2021,3,13,11.1,65.0,0
2021,3,14,12.5,0,1
2021,3,15,12.9,0,1
2021,3,16,14.5,0,1
2021,3,17,13.7,0,1
2021,3,18,12.3,0,1
2021,3,19,12.9,0,1
2021,3,20,14.1,0.0,0
2021,3,21,16.7,46.5,0
2021,3,22,12.1,0.5,0
2021,3,23,10.8,0.0,0
2021,3,24,13.8,0,1
2021,3,25,14.5,0.5,0
2021,3,26,14.5,0,1
2021,3,27,13.7,0,1
2021,3,28,16.5,8.0,0
2021,3,29,17.5,34.5,0
2021,3,30,17.8,0,1
2021,3,31,17.9,0.0,0
2021,4,1,16.6,0.0,0
2021,4,2,16.0,0.0,0
2021,4,3,16.9,0,1
2021,4,4,18.5,10.5,0
2021,4,5,12.9,18.0,0
2021,4,6,10.6,0,1
2021,4,7,13.3,0.0,0
2021,4,8,13.3,2.5,0
2021,4,9,11.9,0.0,0
2021,4,10,10.4,0.0,0
2021,4,11,12.5,0,1
2021,4,12,14.4,0,1
2021,4,13,15.7,0.5,0
2021,4,14,15.3,36.0,0
2021,4,15,10.7,0.0,0
2021,4,16,13.7,0.0,0
2021,4,17,15.7,33.5,0
2021,4,18,16.4,15.0,0
2021,4,19,15.8,0,1
2021,4,20,17.2,0,1
2021,4,21,19.1,0,1
2021,4,22,18.1,0,1
2021,4,23,13.8,0,1
2021,4,24,15.3,0,1
2021,4,25,16.9,0.0,0
2021,4,26,13.4,0,1
2021,4,27,14.6,0,1
2021,4,28,18.2,0.0,0
2021,4,29,17.2,37.0,0
2021,4,30,18.8,3.0,0
2021,5,1,17.7,8.0,0
2021,5,2,16.3,2.0,0
2021,5,3,16.4,0.0,0
2021,5,4,18.0,0,1
2021,5,5,18.3,3.0,0
2021,5,6,18.5,3.5,0
2021,5,7,17.5,1.0,0
2021,5,8,19.5,0.0,0
2021,5,9,23.0,0,1
2021,5,10,20.2,0.0,0
2021,5,11,17.5,0.0,0
2021,5,12,17.9,0,1
2021,5,13,16.1,12.0,0
2021,5,14,20.8,0.0,0
2021,5,15,21.2,0,1
2021,5,16,20.0,1.0,0
2021,5,17,23.0,0.5,0
2021,5,18,20.5,1.0,0
2021,5,19,17.2,9.5,0
2021,5,20,19.1,2.0,0
2021,5,21,21.7,5.0,0
2021,5,22,20.0,2.0,0
2021,5,23,19.6,5.5,0
2021,5,24,22.1,0.0,0
2021,5,25,22.4,0,1
2021,5,26,21.1,0,1
2021,5,27,16.9,35.5,0
2021,5,28,20.5,0,1
2021,5,29,22.8,0,1
2021,5,30,21.2,0.5,0
2021,5,31,20.6,7.5,0
2021,6,1,20.1,0.5,0
2021,6,2,22.0,0,1
2021,6,3,22.1,3.0,0
2021,6,4,21.0,23.0,0
2021,6,5,22.1,0.0,0
2021,6,6,21.7,0.5,0
2021,6,7,23.4,0.0,0
2021,6,8,24.8,0.0,0
2021,6,9,24.5,0,1
2021,6,10,24.1,0,1
2021,6,11,23.7,0,1
2021,6,12,23.3,0,1
2021,6,13,24.3,0.0,0
2021,6,14,21.0,3.5,0
2021,6,15,23.4,1.0,0
2021,6,16,22.2,30.5,0
2021,6,17,21.8,3.5,0
2021,6,18,22.8,0.0,0
2021,6,19,20.3,12.0,0
2021,6,20,22.8,14.5,0
2021,6,21,22.9,0,1
2021,6,22,23.1,0,1
2021,6,23,22.0,1.5,0
2021,6,24,22.8,0.0,0
2021,6,25,23.3,19.0,0
2021,6,26,24.2,0.0,0
2021,6,27,23.7,0.0,0
2021,6,28,24.4,0.0,0
2021,6,29,21.9,53.0,0
2021,6,30,20.6,3.0,0
2021,7,1,20.9,64.5,0
2021,7,2,21.2,68.0,0
2021,7,3,22.2,53.5,0
2021,7,4,20.1,17.5,0
2021,7,5,22.1,2.5,0
2021,7,6,24.7,0.5,0
2021,7,7,25.8,0.5,0
2021,7,8,23.7,7.5,0
2021,7,9,23.5,9.0,0
2021,7,10,27.0,4.5,0
2021,7,11,24.7,17.5,0
2021,7,12,25.8,0.0,0
2021,7,13,25.5,0.0,0
2021,7,14,25.3,0.0,0
2021,7,15,26.4,0.0,0
2021,7,16,27.7,0,1
2021,7,17,27.4,0,1
2021,7,18,28.1,0,1
2021,7,19,29.2,0,1
2021,7,20,28.8,0,1
2021,7,21,28.4,0,1
2021,7,22,28.4,0,1
2021,7,23,28.4,0.0,0
2021,7,24,28.5,0.0,0
2021,7,25,28.5,0,1
2021,7,26,27.5,0.0,0
2021,7,27,24.9,34.5,0
2021,7,28,27.7,0.0,0
2021,7,29,27.8,0,1
2021,7,30,25.8,30.0,0
2021,7,31,27.5,0,1
2021,8,1,28.7,0,1
2021,8,2,28.6,0.5,0
2021,8,3,29.0,3.0,0
2021,8,4,29.5,0,1
2021,8,5,29.1,0,1
2021,8,6,29.1,0,1
2021,8,7,27.9,2.0,0
2021,8,8,25.9,90.5,0
2021,8,9,28.1,2.0,0
2021,8,10,31.0,0.0,0
2021,8,11,29.2,0,1
2021,8,12,26.0,0.5,0
2021,8,13,22.5,20.5,0
2021,8,14,22.3,77.0,0
2021,8,15,19.3,138.5,0
2021,8,16,20.7,2.0,0
2021,8,17,23.7,23.5,0
2021,8,18,27.0,3.0,0
2021,8,19,28.5,0.0,0
2021,8,20,28.7,0,1
2021,8,21,27.9,0.0,0
2021,8,22,28.5,0.0,0
2021,8,23,26.9,2.5,0
2021,8,24,27.5,0.0,0
2021,8,25,29.4,0.0,0
2021,8,26,30.5,0.0,0
2021,8,27,30.0,0,1
2021,8,28,29.8,0.0,0
2021,8,29,28.5,0.0,0
2021,8,30,29.2,0.0,0
2021,8,31,26.9,17.0,0
2021,9,1,20.7,3.0,0
2021,9,2,19.4,18.5,0
2021,9,3,19.7,17.0,0
2021,9,4,20.6,14.0,0
2021,9,5,21.0,10.0,0
2021,9,6,19.9,8.5,0
2021,9,7,20.4,0,1
2021,9,8,20.3,0.5,0
2021,9,9,20.5,14.0,0
2021,9,10,24.8,0.0,0
2021,9,11,25.0,0.0,0
2021,9,12,24.4,0.0,0
2021,9,13,25.2,0,1
2021,9,14,22.8,5.5,0
2021,9,15,22.9,1.5,0
2021,9,16,22.3,0.0,0
2021,9,17,22.3,0.0,0
2021,9,18,23.7,124.5,0
2021,9,19,23.9,0.0,0
2021,9,20,22.4,0,1
2021,9,21,22.7,0,1
2021,9,22,24.9,1.0,0
2021,9,23,26.6,0.0,0
2021,9,24,25.4,0,1
2021,9,25,22.1,0.0,0
2021,9,26,19.9,0.0,0
2021,9,27,20.1,0.0,0
2021,9,28,21.1,0,1
2021,9,29,21.9,0.0,0
2021,9,30,23.2,4.5,0
2021,10,1,19.0,113.0,0
2021,10,2,21.9,2.0,0
2021,10,3,22.1,0,1
2021,10,4,23.5,0,1
2021,10,5,23.9,0,1
2021,10,6,22.8,0.0,0
2021,10,7,21.3,0.0,0
2021,10,8,24.2,0.0,0
2021,10,9,22.7,0.0,0
2021,10,10,22.2,0.0,0
2021,10,11,24.0,0,1
2021,10,12,20.5,2.5,0
2021,10,13,17.4,10.5,0
2021,10,14,19.1,0.0,0
2021,10,15,20.7,0,1
2021,10,16,21.0,0.5,0
2021,10,17,15.7,13.5,0
2021,10,18,13.6,0,1
2021,10,19,13.5,9.0,0
2021,10,20,16.1,0.0,0
2021,10,21,15.4,0,1
2021,10,22,11.2,9.5,0
2021,10,23,13.6,0.0,0
2021,10,24,13.4,0,1
2021,10,25,14.0,5.5,0
2021,10,26,15.0,30.0,0
2021,10,27,14.5,1.0,0
2021,10,28,17.6,0.5,0
2021,10,29,15.3,0,1
2021,10,30,14.5,0,1
2021,10,31,13.6,2.0,0
2021,11,1,16.8,0.0,0
2021,11,2,17.7,0,1
2021,11,3,17.1,0,1
2021,11,4,15.5,0,1
2021,11,5,15.3,0,1
2021,11,6,14.9,0,1
2021,11,7,15.7,1.0,0
2021,11,8,16.4,1.5,0
2021,11,9,16.1,47.5,0
2021,11,10,16.0,0.0,0
2021,11,11,15.4,0,1
2021,11,12,14.5,0,1
2021,11,13,13.1,0,1
2021,11,14,14.0,0,1
2021,11,15,14.3,0,1
2021,11,16,14.2,0.0,0
2021,11,17,13.5,0,1
2021,11,18,12.6,0,1
2021,11,19,12.5,0,1
2021,11,20,13.2,0,1
2021,11,21,12.5,12.5,0
2021,11,22,13.5,24.5,0
2021,11,23,12.5,0.0,0
2021,11,24,11.4,0,1
2021,11,25,12.3,0,1
2021,11,26,12.0,0,1
2021,11,27,9.6,0,1
2021,11,28,8.9,0,1
2021,11,29,8.1,0,1
2021,11,30,11.0,6.0,0
2021,12,1,15.5,54.5,0
2021,12,2,10.1,0.0,0
2021,12,3,9.7,0,1
2021,12,4,9.9,0,1
2021,12,5,8.6,0,1
2021,12,6,8.9,0.0,0
2021,12,7,11.8,9.5,0
2021,12,8,9.5,36.5,0
2021,12,9,10.2,0.0,0
2021,12,10,8.6,0,1
2021,12,11,9.4,0,1
2021,12,12,11.3,0,1
2021,12,13,9.7,0,1
2021,12,14,5.1,5.5,0
2021,12,15,7.6,0,1
2021,12,16,9.5,0,1
2021,12,17,8.7,6.0,0
2021,12,18,4.5,0,1
2021,12,19,4.3,0,1
2021,12,20,6.4,0,1
2021,12,21,8.2,0,1
2021,12,22,8.8,0,1
2021,12,23,8.3,0,1
2021,12,24,8.0,0.5,0
2021,12,25,8.3,3.5,0
2021,12,26,3.5,0.0,0
2021,12,27,2.7,0,1
2021,12,28,3.8,0,1
2021,12,29,4.2,0,1
2021,12,30,6.5,0.0,0
2021,12,31,3.2,0,1
2022,1,1,3.4,0,1
2022,1,2,3.5,0,1
2022,1,3,5.5,0,1
2022,1,4,5.2,0,1
2022,1,5,4.1,0,1
2022,1,6,0.7,6.5,0
2022,1,7,2.6,0,1
2022,1,8,4.5,0,1
2022,1,9,6.3,0,1
2022,1,10,7.7,0.0,0
2022,1,11,5.7,16.0,0
2022,1,12,5.0,0,1
2022,1,13,5.7,0,1
2022,1,14,4.4,0,1
2022,1,15,5.5,0,1
2022,1,16,5.4,0,1
2022,1,17,6.0,0.0,0
2022,1,18,4.4,0,1
2022,1,19,3.7,0,1
2022,1,20,3.4,0,1
2022,1,21,3.0,0,1
2022,1,22,4.5,0,1
2022,1,23,5.1,0.0,0
2022,1,24,6.4,0.0,0
2022,1,25,5.2,0.0,0
2022,1,26,5.5,0.0,0
2022,1,27,6.8,0,1
2022,1,28,6.6,0,1
2022,1,29,5.9,0,1
2022,1,30,5.2,0,1
2022,1,31,4.9,0,1
2022,2,1,5.6,0,1
2022,2,2,5.5,0,1
2022,2,3,5.8,0,1
2022,2,4,4.9,0,1
2022,2,5,3.5,0,1
2022,2,6,2.3,0,1
2022,2,7,4.5,0,1
2022,2,8,5.3,0,1
2022,2,9,6.2,0,1
2022,2,10,2.3,27.0,0
2022,2,11,4.1,2.5,0
2022,2,12,4.7,0,1
2022,2,13,3.1,22.5,0
2022,2,14,3.9,3.5,0
2022,2,15,5.5,0,1
2022,2,16,6.0,0.0,0
2022,2,17,4.6,0,1
2022,2,18,5.7,0,1
2022,2,19,5.0,6.5,0
2022,2,20,5.9,9.0,0
2022,2,21,4.1,0,1
2022,2,22,4.4,0,1
2022,2,23,4.4,0,1
2022,2,24,4.8,0,1
2022,2,25,6.5,0,1
2022,2,26,8.6,0,1
2022,2,27,9.5,0,1
2022,2,28,9.8,0,1
2022,3,1,11.0,0.0,0
2022,3,2,11.2,4.0,0
2022,3,3,9.5,0.0,0
2022,3,4,8.1,0,1
2022,3,5,11.2,0,1
2022,3,6,8.1,0,1
2022,3,7,8.3,0,1
2022,3,8,6.3,0.5,0
2022,3,9,7.9,0,1
2022,3,10,9.0,0,1
2022,3,11,12.0,0,1
2022,3,12,14.6,0,1
2022,3,13,14.7,0,1
2022,3,14,16.4,1.0,0
2022,3,15,12.7,0.0,0
2022,3,16,14.1,0,1
2022,3,17,14.1,0.0,0
2022,3,18,5.2,48.0,0
2022,3,19,10.1,22.0,0
2022,3,20,9.9,0.0,0
2022,3,21,9.6,0.0,0
2022,3,22,3.7,18.0,0
2022,3,23,5.2,1.0,0
2022,3,24,8.2,1.0,0
2022,3,25,12.2,0,1
2022,3,26,16.1,7.5,0
2022,3,27,16.2,0.5,0
2022,3,28,13.5,0.0,0
2022,3,29,10.2,0,1
2022,3,30,14.5,0.0,0
2022,3,31,15.1,7.0,0
2022,4,1,7.6,16.5,0
2022,4,2,8.5,0,1
2022,4,3,8.2,13.5,0
2022,4,4,8.5,53.5,0
2022,4,5,12.6,1.5,0
2022,4,6,15.5,0,1
2022,4,7,14.3,0,1
2022,4,8,15.4,0,1
2022,4,9,17.2,0,1
2022,4,10,19.6,0,1
2022,4,11,18.9,0,1
2022,4,12,20.0,0,1
2022,4,13,20.8,0,1
2022,4,14,12.3,4.0,0
2022,4,15,10.1,19.5,0
2022,4,16,12.5,1.0,0
2022,4,17,13.7,0.0,0
2022,4,18,14.3,28.5,0
2022,4,19,15.3,1.0,0
2022,4,20,12.2,1.5,0
2022,4,21,16.4,8.5,0
2022,4,22,19.2,29.0,0
2022,4,23,20.8,0,1
2022,4,24,17.3,3.5,0
2022,4,25,19.9,0,1
2022,4,26,21.3,2.5,0
2022,4,27,23.0,0.5,0
2022,4,28,16.9,0.0,0
2022,4,29,12.9,40.0,0
2022,4,30,12.6,0,1
2022,5,1,12.7,12.0,0
2022,5,2,13.3,1.0,0
2022,5,3,15.2,0,1
2022,5,4,17.9,0,1
2022,5,5,19.8,0,1
2022,5,6,19.5,0,1
2022,5,7,18.5,7.5,0
2022,5,8,18.3,0.0,0
